中国联通-江西-酒店,#genre#
CCTV11,http://113.195.13.154:9901/tsfile/live/0011_2.m3u8
CCTV13,http://113.195.13.154:9901/tsfile/live/0013_2.m3u8
CCTV14,http://113.195.13.154:9901/tsfile/live/0014_2.m3u8
CCTV15,http://113.195.13.154:9901/tsfile/live/0015_2.m3u8
上海卫视,http://113.195.13.154:9901/tsfile/live/0107_2.m3u8
北京卫视,http://113.195.13.154:9901/tsfile/live/0122_2.m3u8
江苏卫视,http://113.195.13.154:9901/tsfile/live/0127_2.m3u8
江西卫视,http://113.195.13.154:9901/tsfile/live/0138_1.m3u8
浙江卫视,http://113.195.13.154:9901/tsfile/live/0124_2.m3u8
辽宁卫视,http://113.195.13.154:9901/tsfile/live/0121_2.m3u8
安徽卫视,http://113.195.13.154:9901/tsfile/live/0130_2.m3u8
山东卫视,http://113.195.13.154:9901/tsfile/live/0131_2.m3u8
广东卫视,http://113.195.13.154:9901/tsfile/live/0125_2.m3u8
广西卫视,http://113.195.13.154:9901/tsfile/live/0113_2.m3u8
重庆卫视,http://113.195.13.154:9901/tsfile/live/0142_2.m3u8
四川卫视,http://113.195.13.154:9901/tsfile/live/0123_2.m3u8
湖南卫视,http://113.195.13.154:9901/tsfile/live/0128_1.m3u8
旅游卫视,http://113.195.13.154:9901/tsfile/live/0114_1.m3u8
河南卫视,http://113.195.13.154:9901/tsfile/live/0139_1.m3u8
东南卫视,http://113.195.13.154:9901/tsfile/live/0137_1.m3u8
天津卫视,http://113.195.13.154:9901/tsfile/live/0135_1.m3u8
湖北卫视,http://113.195.13.154:9901/tsfile/live/0132_1.m3u8
吉林卫视,http://113.195.13.154:9901/tsfile/live/0116_1.m3u8
黑龙江卫视,http://113.195.13.154:9901/tsfile/live/0143_1.m3u8
山西卫视,http://113.195.13.154:9901/tsfile/live/0118_1.m3u8
贵州卫视,http://113.195.13.154:9901/tsfile/live/0120_1.m3u8
青海卫视,http://113.195.13.154:9901/tsfile/live/0140_1.m3u8
深圳卫视,http://113.195.13.154:9901/tsfile/live/0126_1.m3u8
内蒙古卫视,http://113.195.13.154:9901/tsfile/live/0109_1.m3u8
新疆卫视,http://113.195.13.154:9901/tsfile/live/0110_1.m3u8
兵团卫视,http://113.195.13.154:9901/tsfile/live/0115_1.m3u8
