中国联通-山西-组播,#genre#
CCTV1,http://118.79.113.116:6000/udp/226.0.2.18:8056
CCTV2,http://118.79.113.116:6000/udp/226.0.2.19:8064
CCTV3,http://118.79.113.116:6000/udp/226.0.2.20:8072
CCTV4,http://118.79.113.116:6000/udp/226.0.2.21:8080
CCTV5,http://118.79.113.116:6000/udp/226.0.2.22:8088
CCTV6,http://118.79.113.116:6000/udp/226.0.2.23:8096
CCTV7,http://118.79.113.116:6000/udp/226.0.2.24:8104
CCTV8,http://118.79.113.116:6000/udp/226.0.2.25:8112
CCTV9,http://118.79.113.116:6000/udp/226.0.2.26:8120
CCTV10,http://118.79.113.116:6000/udp/226.0.2.27:8128
CCTV11,http://118.79.113.116:6000/udp/226.0.2.28:8136
CCTV12,http://118.79.113.116:6000/udp/226.0.2.29:8144
CCTV13,http://118.79.113.116:6000/udp/226.0.2.30:8152
CCTV14,http://118.79.113.116:6000/udp/226.0.2.31:8160
CCTV15,http://118.79.113.116:6000/udp/226.0.2.32:8168
CCTV16-HD,http://118.79.113.116:6000/udp/226.0.2.169:9264
CCTV17,http://118.79.113.116:6000/udp/226.0.2.207:9568
湖南卫视,http://118.79.113.116:6000/udp/226.0.2.33:8176
东方卫视,http://118.79.113.116:6000/udp/226.0.2.34:8184
辽宁卫视,http://118.79.113.116:6000/udp/226.0.2.35:8192
浙江卫视,http://118.79.113.116:6000/udp/226.0.2.36:8200
安徽卫视,http://118.79.113.116:6000/udp/226.0.2.37:8208
江苏卫视,http://118.79.113.116:6000/udp/226.0.2.38:8216
北京卫视,http://118.79.113.116:6000/udp/226.0.2.39:8224
东南卫视,http://118.79.113.116:6000/udp/226.0.2.40:8232
四川卫视,http://118.79.113.116:6000/udp/226.0.2.42:8248
贵州卫视,http://118.79.113.116:6000/udp/226.0.2.43:8256
广东卫视,http://118.79.113.116:6000/udp/226.0.2.45:8272
广西卫视,http://118.79.113.116:6000/udp/226.0.2.46:8280
深圳卫视,http://118.79.113.116:6000/udp/226.0.2.47:8288
黑龙江卫视,http://118.79.113.116:6000/udp/226.0.2.48:8296
湖北卫视,http://118.79.113.116:6000/udp/226.0.2.49:8304
重庆卫视,http://118.79.113.116:6000/udp/226.0.2.50:8312
山东卫视,http://118.79.113.116:6000/udp/226.0.2.51:8320
山西卫视,http://118.79.113.116:6000/udp/226.0.2.11:8000
陕西卫视,http://118.79.113.116:6000/udp/226.0.2.53:8336
甘肃卫视,http://118.79.113.116:6000/udp/226.0.2.55:8352
天津卫视,http://118.79.113.116:6000/udp/226.0.2.56:8360
青海卫视,http://118.79.113.116:6000/udp/226.0.2.59:8384
云南卫视,http://118.79.113.116:6000/udp/226.0.2.60:8392
海南卫视,http://118.79.113.116:6000/udp/226.0.2.61:8400
兵团卫视,http://118.79.113.116:6000/udp/226.0.2.62:8408
内蒙古卫视,http://118.79.113.116:6000/udp/226.0.2.63:8416
宁夏卫视,http://118.79.113.116:6000/udp/226.0.2.64:8424
河北卫视,http://118.79.113.116:6000/udp/226.0.2.65:8432
河南卫视,http://118.79.113.116:6000/udp/226.0.2.195:9472
江西卫视,http://118.79.113.116:6000/udp/226.0.2.198:9496
吉林卫视,http://118.79.113.116:6000/udp/226.0.2.199:9504
西藏卫视,http://118.79.113.116:6000/udp/226.0.2.66:8440
新疆卫视,http://118.79.113.116:6000/udp/226.0.2.67:8448
